     13000     5.390837836116096e+03     1.794361751961117e-01
     12000     4.644239556338854e+03     1.528511186014731e-01
     11000     3.940131503489780e+03     1.290968261660736e-01
     10000     3.281122995555113e+03     1.068174866371201e-01
      9000     2.670141600901180e+03     8.574694876432816e-02
      8000     2.110465456819119e+03     6.688276132615865e-02
      7000     1.605812265210517e+03     5.012494566014503e-02
     13000     5.390837836116096e+03     1.794361751961117e-01
     12000     4.644239556338854e+03     1.528511186014731e-01
     11000     3.940131503489780e+03     1.290968261660736e-01
     10000     3.281122995555113e+03     1.068174866371201e-01
      9000     2.670141600901180e+03     8.574694876432816e-02
      8000     2.110465456819119e+03     6.688276132615865e-02
      7000     1.605812265210517e+03     5.012494566014503e-02
     13000     4.379425236544426e+03     1.447377671678458e-01
     12000     3.761800361842411e+03     1.236269962829931e-01
     11000     3.180083199229060e+03     1.037040601095266e-01
     10000     2.636654040219569e+03     8.515799739496453e-02
      9000     2.134136608770134e+03     6.858193183244177e-02
      8000     1.675487981509842e+03     5.365212867310046e-02
      7000     1.264027017584013e+03     4.016308627399366e-02
     13000     2.521220955224985e+03     6.912671968428080e-02
     12000     2.207326052029566e+03     5.981267179697917e-02
     11000     1.905520182988651e+03     5.095895828690122e-02
     10000     1.617025512233253e+03     4.271519004069623e-02
      9000     1.343274243663862e+03     3.502320661870974e-02
      8000     1.085979055626744e+03     2.797711376620876e-02
      7000     8.472124503357389e+02     2.151052872144719e-02
     13000     2.521209300972501e+03     6.912640014852448e-02
     12000     2.207315848744896e+03     5.981239531507164e-02
     11000     1.905511374790672e+03     5.095872273096346e-02
     10000     1.617018037591428e+03     4.271499259127839e-02
      9000     1.343268034427357e+03     3.502304472520656e-02
      8000     1.085974035727920e+03     2.797698444301446e-02
      7000     8.472085341268947e+02     2.151042928980776e-02
     13000     0.000000000000000e+00     0.000000000000000e+00
     12000     0.000000000000000e+00     0.000000000000000e+00
     11000     0.000000000000000e+00     0.000000000000000e+00
     10000     0.000000000000000e+00     0.000000000000000e+00
      9000     0.000000000000000e+00     0.000000000000000e+00
      8000     0.000000000000000e+00     0.000000000000000e+00
      7000     0.000000000000000e+00     0.000000000000000e+00
     13000     3.932376294754839e+03     1.308907044161864e-01
     12000     3.387766075276234e+03     1.114980887364702e-01
     11000     2.874150585413064e+03     9.417038953434800e-02
     10000     2.393433206514665e+03     7.791860283813161e-02
      9000     1.947749469419660e+03     6.254858315518080e-02
      8000     1.539490629396057e+03     4.878799792579556e-02
      7000     1.171368584533401e+03     3.656391716502441e-02
     13000     4.904782014949458e+03     1.632576144355491e-01
     12000     4.225499512606219e+03     1.390695547283515e-01
     11000     3.584876177387639e+03     1.174570280939137e-01
     10000     2.985286062514987e+03     9.718646771933226e-02
      9000     2.429392777079714e+03     7.801571943389700e-02
      8000     1.920178890640920e+03     6.085238970924889e-02
      7000     1.461026904764823e+03     4.560551429076681e-02
     13000     4.904782014949458e+03     1.632576144355491e-01
     12000     4.225499512606219e+03     1.390695547283515e-01
     11000     3.584876177387639e+03     1.174570280939137e-01
     10000     2.985286062514987e+03     9.718646771933226e-02
      9000     2.429392777079714e+03     7.801571943389700e-02
      8000     1.920178890640920e+03     6.085238970924889e-02
      7000     1.461026904764823e+03     4.560551429076681e-02
